Year,Month,Season,SST_Total,ONI_Anomaly
2018,2,JFM,26.11,-0.67
2018,3,FMA,26.68,-0.55
2018,4,MAM,27.28,-0.35
2018,5,AMJ,27.72,-0.07
2018,6,MJJ,27.76,0.13
2018,7,JJA,27.49,0.2
2018,8,JAS,27.25,0.3
2018,9,ASO,27.28,0.52
2018,10,SON,27.53,0.82
2018,11,OND,27.69,1.04
2018,12,NDJ,27.61,1.05
2019,1,DJF,27.54,0.99
2019,2,JFM,27.72,0.94
2019,3,FMA,28.1,0.87
2019,4,MAM,28.45,0.82
2019,5,AMJ,28.5,0.71
2019,6,MJJ,28.21,0.59
2019,7,JJA,27.67,0.38
2019,8,JAS,27.16,0.2
2019,9,ASO,27.07,0.31
2019,10,SON,27.22,0.51
2019,11,OND,27.37,0.72
2019,12,NDJ,27.31,0.75
2020,1,DJF,27.25,0.71
2020,2,JFM,27.44,0.66
2020,3,FMA,27.8,0.57
2020,4,MAM,27.97,0.33
2020,5,AMJ,27.83,0.04
2020,6,MJJ,27.45,-0.18
2020,7,JJA,27.0,-0.29
2020,8,JAS,26.52,-0.43
2020,9,ASO,25.99,-0.77
2020,10,SON,25.71,-1.0
2020,11,OND,25.54,-1.11
2020,12,NDJ,25.5,-1.06
2021,1,DJF,25.55,-0.99
2021,2,JFM,25.92,-0.85
2021,3,FMA,26.48,-0.74
2021,4,MAM,27.07,-0.56
2021,5,AMJ,27.39,-0.4
2021,6,MJJ,27.31,-0.31
2021,7,JJA,26.95,-0.35
2021,8,JAS,26.49,-0.46
2021,9,ASO,26.13,-0.64
2021,10,SON,25.94,-0.77
2021,11,OND,25.74,-0.91
2021,12,NDJ,25.73,-0.83
2022,1,DJF,25.79,-0.76
2022,2,JFM,26.09,-0.68
2022,3,FMA,26.46,-0.77
2022,4,MAM,26.77,-0.86
2022,5,AMJ,26.96,-0.83
2022,6,MJJ,26.9,-0.73
2022,7,JJA,26.59,-0.7
2022,8,JAS,26.18,-0.78
2022,9,ASO,25.89,-0.87
2022,10,SON,25.82,-0.89
2022,11,OND,25.83,-0.82
2022,12,NDJ,25.86,-0.7
2023,1,DJF,26.0,-0.55
2023,2,JFM,26.45,-0.33
2023,3,FMA,27.12,-0.11
2023,4,MAM,27.82,0.19
2023,5,AMJ,28.25,0.46
2023,6,MJJ,28.36,0.73
2023,7,JJA,28.29,1.0
2023,8,JAS,28.21,1.25
2023,9,ASO,28.26,1.5
2023,10,SON,28.45,1.74
2023,11,OND,28.55,1.9
2023,12,NDJ,28.55,1.99
2024,1,DJF,28.38,1.84
2024,2,JFM,28.3,1.53
2024,3,FMA,28.4,1.18
2024,4,MAM,28.4,0.77
2024,5,AMJ,28.23,0.43
2024,6,MJJ,27.8,0.18
2024,7,JJA,27.35,0.06
2024,8,JAS,26.92,-0.04
2024,9,ASO,26.64,-0.12
2024,10,SON,26.52,-0.19
2024,11,OND,26.35,-0.29
2024,12,NDJ,26.13,-0.43
2025,1,DJF,26.09,-0.46
2025,2,JFM,26.56,-0.22
2025,3,FMA,27.15,-0.08
2025,4,MAM,27.65,0.02
2025,5,AMJ,27.76,-0.04
2025,6,MJJ,27.61,-0.02
2025,7,JJA,27.18,-0.11
2025,8,JAS,26.7,-0.26
2025,9,ASO,26.33,-0.43
2025,10,SON,26.14,-0.57
2025,11,OND,26.04,-0.61
2025,12,NDJ,25.96,-0.6
2026,1,DJF,26.15,-0.39
2026,2,JFM,26.57,-0.21
2026,3,FMA,27.34,0.11
2026,4,MAM,28.09,0.46
2026,5,AMJ,28.74,0.95
2026,6,MJJ,29.02,1.39
2026,7,JJA,29.09,1.8
