Year,Month,Season,SST_Total,ONI_Anomaly,Mean_Amplitude,Std_Amplitude,SEM_Amplitude,RMS_Amplitude,Active_Days,Total_Days,Active_Pct,MC_Phase45_Days,Mean_RMM1,Mean_RMM2
1997,1,DJF,26.23,-0.41,1.2290671322580644,0.6023562174069559,0.10818637035508201,1.3644540071088038,14.0,31.0,45.16129032258065,0.0,-0.44335961616451625,0.1270896701741935
1997,2,JFM,26.59,-0.26,2.0139664214285715,0.4337972127901481,0.08197996746254996,2.0585237558505725,28.0,28.0,100.0,16.0,1.4871266439285713,-0.33865863892857145
1997,3,FMA,27.21,-0.03,3.154012896774194,0.36382633135366793,0.06534513812806901,3.174255340284904,31.0,31.0,100.0,0.0,-1.1953488306451612,1.509443014251613
1997,4,MAM,27.9,0.3,1.5166102756666666,0.718562113678855,0.13119089287683347,1.6730891157073868,21.0,30.0,70.0,0.0,-0.6947883287200001,-0.4876648996666667
1997,5,AMJ,28.44,0.71,1.8600327158064518,0.9376717329909856,0.1684108148058154,2.0761955062510573,24.0,31.0,77.41935483870968,6.0,0.25867144166774186,0.6871592119848386
1997,6,MJJ,28.67,1.13,2.074318852666667,0.6016023317887308,0.10983705592279837,2.157002524172887,28.0,30.0,93.33333333333333,0.0,-1.2816443795666665,-0.5919170643333334
1997,7,JJA,28.69,1.48,1.4549486380645158,0.607011336849158,0.10902245448846942,1.5727213379637548,23.0,31.0,74.19354838709677,12.0,0.8421569380158066,-0.6282477326
1997,8,JAS,28.7,1.79,0.6394336803225806,0.23521847336490084,0.04224648495097993,0.6800135265215549,1.0,31.0,3.225806451612903,0.0,0.288665003748387,0.08139847139032258
1997,9,ASO,28.78,2.04,0.6637266016666667,0.3099356505356285,0.05658624905780062,0.7303362962707617,5.0,30.0,16.666666666666668,0.0,-0.15306942021,-0.5033370187216666
1997,10,SON,28.92,2.24,0.8330919136193548,0.44188823048170106,0.07936546909774304,0.939685302157644,9.0,31.0,29.032258064516128,0.0,-0.3779237416903226,0.017215604877419362
1997,11,OND,28.97,2.34,1.1042485676666665,0.3487246307171327,0.06366811553381085,1.1562526273816889,14.0,30.0,46.666666666666664,0.0,-0.4438641653333334,-0.6477301260533334
1997,12,NDJ,28.96,2.37,1.1202297012903224,0.28831452949130026,0.05178281814799249,1.1555770815109856,21.0,31.0,67.74193548387096,8.0,0.2655654645384193,-0.5644411674288708
1998,1,DJF,28.85,2.22,1.1190308054838711,0.36914221278799997,0.06629989861862075,1.1764778962339508,19.0,31.0,61.29032258064516,0.0,-0.42501317675806444,0.25299507837741925
1998,2,JFM,28.76,1.91,1.0981855267857141,0.45594997084914435,0.08616644522528467,1.1859499023467182,19.0,28.0,67.85714285714286,0.0,-0.08346081553571427,-0.801031322182143
1998,3,FMA,28.64,1.4,0.7431860038709677,0.29067591275993016,0.05220693510315573,0.7962991639676958,6.0,31.0,19.35483870967742,1.0,-0.06647706792451613,0.1495033012967742
1998,4,MAM,28.63,1.03,0.9705981949800001,0.34191154806602847,0.06242422251575855,1.027164825742512,13.0,30.0,43.333333333333336,6.0,0.1809118823036667,-0.4727148707366667
1998,5,AMJ,28.13,0.4,2.0080821048387096,0.929640562591639,0.16696837402061226,2.206523708793104,26.0,31.0,83.87096774193549,15.0,1.3556402635483868,-0.00018506774193549445
1998,6,MJJ,27.46,-0.08,0.921335034,0.3999818444193323,0.07302635959366338,1.0017538976941238,14.0,30.0,46.666666666666664,7.0,0.6473882830069999,-0.38297813353333326
1998,7,JJA,26.57,-0.63,0.75393639,0.25523643774174704,0.04584181748884461,0.7946472469509024,5.0,31.0,16.129032258064516,0.0,-0.1503765651580645,-0.5500180512948388
1998,8,JAS,26.08,-0.83,1.00514719,0.40095527489010263,0.07201369324586544,1.0797685094557,18.0,31.0,58.064516129032256,0.0,-0.6662829444096774,-0.34024437556774195
1998,9,ASO,25.73,-1.02,1.4218518516666665,0.5266306523462383,0.09614916258789855,1.5131945911257412,23.0,30.0,76.66666666666667,11.0,-0.01565220233333333,-0.19676572500666667
1998,10,SON,25.56,-1.12,1.200659972903226,0.7385354488727645,0.13264488235227265,1.4033617904729423,16.0,31.0,51.61290322580645,8.0,0.8523537905999999,0.5441432118670967
1998,11,OND,25.32,-1.31,1.5365223635833334,0.7800234730652378,0.14241215052711803,1.7172816809442504,22.0,30.0,73.33333333333333,7.0,0.7713501563306665,1.1162013007353333
1998,12,NDJ,25.12,-1.47,0.7307931299999999,0.358223157633265,0.06433877841970756,0.8113217309498147,6.0,31.0,19.35483870967742,2.0,0.2504838837667742,0.15453773618064515
2006,1,DJF,25.83,-0.86,1.7294375064516125,0.6866712407637477,0.12332979559047319,1.856680167162134,26.0,31.0,83.87096774193549,8.0,0.44822100896129036,0.4721050607903226
2006,2,JFM,26.11,-0.8,1.6995880442857145,0.48822524844828324,0.09226589936977721,1.7659134795665423,27.0,28.0,96.42857142857143,2.0,-0.8142484298964285,0.12063385447857143
2006,3,FMA,26.71,-0.63,0.8061425020580645,0.4853986815210215,0.08718017679798139,0.9369510288271503,8.0,31.0,25.806451612903224,8.0,0.7762172687903227,-0.03580917638064515
2006,4,MAM,27.28,-0.45,0.9840533986666665,0.35607644974849806,0.06501036790786904,1.0444736385172178,15.0,30.0,50.0,7.0,0.525063489,0.240430164
2006,5,AMJ,27.69,-0.19,1.1181375867741936,0.37160001520191166,0.0667413329634935,1.176377417638376,24.0,31.0,77.41935483870968,0.0,-0.7034215095309677,0.15650799921935485
2006,6,MJJ,27.63,-0.05,1.1171617263333333,0.48653260369796614,0.08882829400236582,1.215266979486329,14.0,30.0,46.666666666666664,0.0,-0.63046759825,-0.4457736710796667
2006,7,JJA,27.45,0.12,1.0984740158064517,0.23660004027602288,0.0424946216933222,1.122861945916643,19.0,31.0,61.29032258064516,0.0,-0.7323546298709677,0.5089349951774191
2006,8,JAS,27.32,0.33,0.9450053216129033,0.3238810266308059,0.05817074960876783,0.9972713478176767,15.0,31.0,48.38709677419355,5.0,-0.1227424041096774,-0.20363740004838707
2006,9,ASO,27.34,0.54,1.508618758,0.4405975456096779,0.08044173817061062,1.5695814349522694,26.0,30.0,86.66666666666667,10.0,0.6195701149999999,-0.8262761261393333
2006,10,SON,27.47,0.71,1.7489779667580645,0.898718566376097,0.16141461955104908,1.9597357756466738,25.0,31.0,80.64516129032258,4.0,-0.42951748206129026,0.5218024852064517
2006,11,OND,27.6,0.88,1.1893461453333336,0.5191830556571253,0.09478942368595589,1.2942605084981973,20.0,30.0,66.66666666666667,2.0,-0.38850083390666673,-0.5226116012583334
2006,12,NDJ,27.55,0.88,1.4631380310096773,0.9136882176071097,0.1641032482816306,1.7171689435475912,18.0,31.0,58.064516129032256,2.0,0.4332584867516129,-1.2010670034838706
2007,1,DJF,27.3,0.62,1.2701261521580647,0.725119110142752,0.13023523678257523,1.4567281659219247,20.0,31.0,64.51612903225806,9.0,0.7263608001953228,0.7997295839741935
2007,2,JFM,27.1,0.19,1.1186876339285716,0.5529887201063222,0.10450504508751655,1.2435180909101362,15.0,28.0,53.57142857142857,5.0,0.3069671026607143,-0.3595325509057143
