Year,Month,Mean_Amplitude,Std_Amplitude,SEM_Amplitude,RMS_Amplitude,Active_Days,Total_Days,Active_Pct,MC_Phase45_Days,Mean_RMM1,Mean_RMM2
1974,6,1.0546148806666666,0.6148081508458694,0.1122480975854405,1.2155665236664484,12.0,30.0,40.0,5.0,0.000493681832000013,0.1786678413333334
1974,7,0.8500422877419354,0.36504215753118474,0.06556350695589398,0.9227833409203974,12.0,31.0,38.70967741935484,4.0,0.3881751946496774,-0.022093117680645154
1974,8,1.074155283267742,0.601929469100839,0.10810972409667247,1.2265565400338307,17.0,31.0,54.83870967741935,8.0,0.4042214334516129,0.5328013975806452
1974,9,0.9738112963333332,0.33779804624200327,0.06167320326930613,1.0288889040658495,13.0,30.0,43.333333333333336,0.0,-0.63384739316,-0.6121870056666666
1974,10,0.9921956770967744,0.4385750735518687,0.0787704085466984,1.0819406543465957,19.0,31.0,61.29032258064516,17.0,0.8368710823709679,0.07381848387419357
1974,11,0.8571291733333332,0.19511403671220118,0.035622786397721234,0.8783341756930992,10.0,30.0,33.333333333333336,3.0,0.09046204733333334,0.649324272
1974,12,0.8659016363774193,0.4296430884361226,0.07716617666228616,0.9635477198879915,12.0,31.0,38.70967741935484,0.0,-0.5682313105516128,0.03376031198064517
1975,1,1.6703991880645161,0.4408376255517128,0.07917677488198169,1.7257758539010666,30.0,31.0,96.7741935483871,5.0,-0.5288187822580646,0.32396988324838705
1975,2,1.5161655678571428,0.38272923692489524,0.07232902716977084,1.562052563066096,27.0,28.0,96.42857142857143,5.0,-0.4779074932142858,-0.4434809786214285
1975,3,1.5107749632258065,0.33882337135739166,0.06085447394637444,1.5471066542060492,29.0,31.0,93.54838709677419,7.0,0.49771662656451604,-0.6861589338709676
1975,4,1.7407238386666668,0.6389077647276385,0.11664806496884371,1.8505987796577372,25.0,30.0,83.33333333333333,8.0,0.15014746362333334,-0.3720749929766667
1975,5,0.6574914222580645,0.32894810188434787,0.05908082319007262,0.7328105351367645,6.0,31.0,19.35483870967742,0.0,-0.3125963323935484,-0.48554195030645164
1975,6,1.3867211276666669,0.6087941674903408,0.1111500994706793,1.5103878573647984,20.0,30.0,66.66666666666667,8.0,0.49352374589000003,0.267983562749
1975,7,1.6907545193548388,0.39918093606262184,0.07169501258485791,1.7357580734667775,31.0,31.0,100.0,4.0,-0.7236235796774194,-0.5981554906506451
1975,8,1.091334322903226,0.40010096159635705,0.07186025404871678,1.1601411499059182,23.0,31.0,74.19354838709677,17.0,0.5565815132387096,-0.03691342577419355
1975,9,0.7913458553333332,0.33235346469329113,0.06067916322583745,0.8561571861504709,9.0,30.0,30.0,3.0,-0.07351198229333328,-0.45993904189000007
1975,10,0.7768538551129032,0.5439323324320345,0.09769313084858369,0.943302892317062,8.0,31.0,25.806451612903224,6.0,0.4289051638222581,0.3755629545709677
1975,11,0.9253528316666666,0.41951541519086927,0.07659268537372818,1.0131162851339064,10.0,30.0,33.333333333333336,0.0,-0.7043443326666667,0.17999455589666655
1975,12,1.0417191258064515,0.307766346802818,0.05527646767119728,1.084824120960216,19.0,31.0,61.29032258064516,3.0,-0.08255879739677419,-0.04350533935354838
1976,1,1.8343668345161293,0.8968544979862803,0.16107982298489745,2.0355104924215204,25.0,31.0,80.64516129032258,1.0,-0.45590864322774194,1.2588659399516129
1976,2,1.0801324720689656,0.5554364979808014,0.1031419683284223,1.2101890740195642,17.0,29.0,58.62068965517241,3.0,-0.37732446647586193,0.49184084220137936
1976,3,0.7079384773548388,0.3718225991642872,0.06678131022328228,0.7968495401100734,9.0,31.0,29.032258064516128,2.0,0.45824853557516126,0.40920121706129026
1976,4,0.694163626,0.24203509379169633,0.04418936019253022,0.7338197508475756,3.0,30.0,10.0,1.0,0.17519422958,-0.013633799089999987
1976,5,1.2929743906451614,0.6322895512233394,0.11356255581584185,1.4348088365238807,19.0,31.0,61.29032258064516,6.0,0.24485891684193545,0.16620371000000003
1976,6,0.7404229729633334,0.4036556626854814,0.07369710397251152,0.8400790497185255,10.0,30.0,33.333333333333336,0.0,-0.39874528776233326,-0.46559799465333335
1976,7,0.5318703241935484,0.22202699125931646,0.03987722482322565,0.5749711588817414,2.0,31.0,6.451612903225806,0.0,0.1248156712548387,-0.3144897755667742
1976,8,1.2991906812903224,0.4412204706363998,0.07924553588904636,1.3697781116304482,25.0,31.0,80.64516129032258,5.0,0.2947326748451613,-0.4509432335964516
1976,9,1.731187313333333,0.35202464055985383,0.06427061214409333,1.7654461616889379,30.0,30.0,100.0,5.0,-0.07879077233333334,1.057140177
1976,10,1.3352454777419356,0.5207113544199006,0.09352252007935728,1.4301308816643683,23.0,31.0,74.19354838709677,12.0,0.3099178832806451,-0.3766377387096774
1976,11,1.3536582700533333,0.833848455543414,0.15223920288065718,1.582566644410965,20.0,30.0,66.66666666666667,10.0,0.6600770878036666,-0.6554070771866667
